nocode,language,es
07252,Polygonia c-album,C-blanca
07255,Araschnia levana,Levana
07257,Nymphalis antiopa,Antiopa
07258,Nymphalis polychloros,Mariposa de los olmos
07267,Euphydryas desfontainii,Ondas blancas
07268,Euphydryas aurinia,Ondas rojas
07270,Melitaea cinxia,Doncella punteada
07271,Melitaea phoebe,Doncella mayor
07272,Melitaea aetherie,Doncella del sur
07274,Melitaea trivia,Doncella del gordolobo
07275,Melitaea didyma,Doncella didima
07276,Melitaea diamina,Doncella oscura
07277,Melitaea deione,Doncella ibérica
07279,Melitaea parthenoides,Doncella atenea
07283,Melitaea athalia,Doncella común
07287,Limenitis camilla,Ninfa boscana
07288,Limenitis reducta,Ninfa de los arroyos
07292,Hypolimnas misippus,Falsa mariposa tigre
07294,Charaxes jasius,Cuatro colas
07298,Apatura ilia,Tornasolada chica
07299,Apatura iris,Tornasolada mayor
07307,Pararge aegeria,Ondulada
07309,Lasiommata megera,Saltacercas
07311,Lasiommata petropolitana,Pedregosa menor
07312,Lasiommata maera,Pedregosa
07315,Lopinga achine,Lopinga
07325,Coenonympha arcania,Ocelada banda blanca
07326,Coenonympha glycerion,Ocelada uniforme
07331,Coenonympha dorus,Ocelada dorus
07334,Coenonympha pamphilus,Ocelada común
07340,Pyronia tithonus,Lobito jaspeado
07341,Pyronia cecilia,Lobito listado
07342,Pyronia bathseba,Lobito de banda blanca
07344,Aphantopus hyperantus,Sortijitas
07350,Maniola jurtina,Loba
07353,Hyponephele lycaon,Lobo
07354,Hyponephele lupinus,Lobo anillado
07361,Erebia euryale,Montañesa ribeteada
07363,Erebia manto,Montañesa uniforme
07366,Erebia epiphron,Montañesa ojitos
07373,Erebia triarius,Montañesa vacilante
07382,Erebia alberganus,Erebia de manchas anaranjadas
07384,Erebia gorge,Montañesa sublime
07394,Erebia cassioides,Montañesa concéntrica
07396,Erebia pronoe,Montañesa dentada
07403,Erebia neoridas,Montañesa convexa
07405,Erebia oeme,Montañesa aranera
07406,Erebia meolans,Montañesa de banda larga
07410,Erebia pandrose,Montañesa clara
07414,Melanargia russiae,Medioluto montañesa
07415,Melanargia galathea,Medioluto norteña
07416,Melanargia lachesis,Medioluto ibérica
07419,Melanargia occitanica,Medioluto herrumbrosa
07421,Melanargia ines,Medioluto inés
07424,Satyrus ferula,Sátiro ocelado
07425,Satyrus actaea,Sátiro negro
07427,Minois dryas,Minois
07429,Hipparchia fagi,Sátiro del bosque
07430,Hipparchia alcyone,Banda acodada
07436,Hipparchia semele,Sátiro rubio
07441,Hipparchia statilinus,Sátiro gris
07443,Hipparchia fidia,Sátiro rayado
07445,Arethusana arethusa,Aretusa
07447,Brintesia circe,Circe
07449,Chazara briseis,Briseis
07474,Danaus plexippus,Monarca
07476,Danaus chrysippus,Mariposa tigre
07522,Abraxas grossulariata,Polilla urraca
07836,Campaea margaritaria,Esmeralda clara
08000,Hemistola chrysoprasaria,Pequeña esmeralda
08274,Epirrhoe tristata,Sable pequeña
08275,Epirrhoe alternata,Alfombra común
08385,Colostygia pectinataria,Alfombra verde
09056,Autographa gamma,Mariposa plusia
10535,Utetheisa pulchella,Escama de borde ensangrentad
10583,Diacrisia sannio,Escama de borde ensangrentado
10603,Callimorpha dominula,Calimorfa escarlata
10605,Euplagia quadripunctaria,Calimorpha
10607,Tyria jacobaeae,Gota de sangre
20000,NN,New species
